word,trans
бАквс,"хлопай, стучи"
бахъ,тяни
ббах,сохни
ббзахь,"пропади, исчезни"
бгIвзЫ,поскользнись
бгъа,спина
бгъгъЫ,ворчи
бгъзы,стони
бжьас,ястреб
бкша,бей
бкьЫ,пыхти
бпсЫ,умри
бпхьа,ночуй
бпхьжва,отламывай
бпшша,высохни
бпшЫ,смотри
бтпсА,высыпь откуда-то
бтпссА,вымети
бтхъа,"отойди (назад, вперед…)"
бтЫс,пройди
